Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
1, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
2, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
3, 0.517192, 0.447531, 0.482362, 0.261415, 0.517638, 0.026026, 0.494096, 5270.000000, 25510.000000, 23814.000000, 4269.000000, "Dim[i][121]"
4, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], (Dim[i][86]+Dim[i][121]))"
5, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], (Dim[i][86]+Dim[i][121]))"
6, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], Dim[i][121])"
7, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], Dim[i][121])"
8, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], Dim[i][121])"
9, 0.492924, 0.453507, 0.473215, 0.266889, 0.526785, 0.039481, 0.513463, 5213.000000, 24313.000000, 25011.000000, 4326.000000, "sin((protected_div(Dim[i][0], Dim[i][121])))"
10, 0.517659, 0.180103, 0.348881, 0.364675, 0.651119, 0.224755, 0.537044, 7821.000000, 25533.000000, 23791.000000, 1718.000000, "sin(protected_log(((protected_abs(Dim[i][18])-ifLessThan(tanh(Dim[i][57]), Dim[i][71], Dim[i][92], (Dim[i][13]*sin(protected_div(Dim[i][39], sin(Dim[i][73])))))))))"
11, 0.493999, 0.453087, 0.473543, 0.266704, 0.526457, 0.038998, 0.512631, 5217.000000, 24366.000000, 24958.000000, 4322.000000, "protected_div(Dim[i][60], (Dim[i][86]+Dim[i][121]))"
12, 0.517659, 0.180103, 0.348881, 0.364675, 0.651119, 0.224755, 0.537044, 7821.000000, 25533.000000, 23791.000000, 1718.000000, "sin(protected_log(((protected_abs(Dim[i][18])-ifLessThan(tanh(Dim[i][57]), Dim[i][71], Dim[i][92], (Dim[i][13]*sin(protected_div(Dim[i][39], sin(Dim[i][73])))))))))"
13, 0.517659, 0.180103, 0.348881, 0.364675, 0.651119, 0.224755, 0.537044, 7821.000000, 25533.000000, 23791.000000, 1718.000000, "sin(protected_log(((protected_abs(Dim[i][18])-ifLessThan(tanh(Dim[i][57]), Dim[i][71], Dim[i][92], (Dim[i][13]*sin(protected_div(Dim[i][39], sin(Dim[i][73])))))))))"
14, 0.516868, 0.180103, 0.348485, 0.365007, 0.651515, 0.225303, 0.537706, 7821.000000, 25494.000000, 23830.000000, 1718.000000, "sin(protected_log(((protected_abs(Dim[i][18])-ifLessThan(tanh(Dim[i][57]), Dim[i][71], Dim[i][92], (Dim[i][13]*Dim[i][77]))))))"
15, 0.517294, 0.180103, 0.348698, 0.364828, 0.651302, 0.225008, 0.537349, 7821.000000, 25515.000000, 23809.000000, 1718.000000, "sin(protected_log(((protected_abs(Dim[i][18])-ifLessThan(tanh(Dim[i][57]), Dim[i][71], Dim[i][92], (Dim[i][13]*Dim[i][61]))))))"
16, 0.510259, 0.452249, 0.481254, 0.261695, 0.518746, 0.027647, 0.499142, 5225.000000, 25168.000000, 24156.000000, 4314.000000, "protected_div(Dim[i][121], (Dim[i][28]))"
